HHID,PERSONS,income,VEHICL,TAZ,workers,HHT,w_income,w_vot
120000101,4,104603.38937118446,2,29,1,1,1.0,0.7439863102094392
120000102,4,164533.8511038471,3,29,1,1,1.0,1.3218695156593925
120000103,4,85390.52193098185,2,29,2,1,1.0,0.7439863102094392
120000104,3,181471.15930625965,3,29,3,1,1.0,1.3218695156593925
120000107,3,149433.41338740638,1,29,1,5,1.0,0.7439863102094392
120000111,4,290115.1568452913,2,29,2,1,1.0,1.2734770921894032
120000114,4,192128.67440202608,2,29,2,1,1.0,0.7439863102094392
120000116,3,176631.92840454282,2,29,2,1,1.0,1.3218695156593925
120000117,2,449678.49289877515,2,29,2,1,1.0,0.4995138982911621
120000121,2,333632.43029419106,3,29,2,1,1.0,0.4995138982911621
120000122,4,145176.92744129544,4,29,2,5,1.0,1.3218695156593925
120000124,2,4685.859197864352,1,29,0,1,1.0,1.4562422919850013
120000126,4,117411.96765919412,2,29,1,1,1.0,0.7439863102094392
120000127,3,181471.15930625965,2,29,3,5,1.0,1.3218695156593925
120000129,2,16400.507190278586,2,29,0,1,1.0,1.4562422919850013
120000130,2,154855.389281852,2,29,2,1,1.0,1.3218695156593925
120000135,4,192128.67440202608,2,29,2,1,1.0,0.7439863102094392
120000136,1,0.0,1,29,0,6,1.0,2.225540928492468
120000137,2,8200.253595139293,2,29,0,1,1.0,0.44932896411722156
120000138,2,135498.46561930032,2,29,2,1,1.0,1.3218695156593925
120000202,2,34558.21158144129,0,8,0,1,1.0,1.4562422919850013
120000209,2,0.0,3,8,2,1,1.0,1.4562422919850013
120000213,2,169373.08202412538,0,8,2,1,1.0,1.3218695156593925
120000218,1,10556.631422981449,1,8,0,4,1.0,2.225540928492468
120000220,2,406161.2194498754,4,8,2,1,1.0,0.4995138982911621
120000224,5,149433.41338740638,2,8,1,1,1.0,0.7439863102094392
120000231,4,371347.4007352664,2,8,2,1,1.0,1.2734770921894032
120000232,4,0.0,2,8,1,1,1.0,0.7439863102094392
120000233,3,406161.2194498754,2,8,1,1,1.0,0.4995138982911621
120000235,3,0.0,3,8,1,1,1.0,1.3218695156593925
120000241,4,0.0,2,8,2,1,1.0,0.7439863102094392
120000242,5,333632.43029419106,2,8,2,1,1.0,1.2734770921894032
120000301,1,184741.04991229816,1,27,1,6,1.0,2.225540928492468
120000302,1,11714.647992414235,1,27,1,6,1.0,0.44932896411722156
120000303,3,48392.30914709848,2,27,2,1,1.0,1.3218695156593925
120000306,4,50958.71877621317,3,27,0,1,1.0,1.4562422919850013
120000307,3,241961.54582829957,2,27,1,1,1.0,1.3218695156593925
120000310,3,227443.85303034188,2,27,2,1,1.0,1.3218695156593925
120000312,5,449678.49289877515,3,27,2,1,1.0,1.2734770921894032
120000314,4,536713.0400191287,4,27,3,1,1.0,0.9126221254114719
120000315,2,406161.2194498754,3,27,2,1,1.0,0.4995138982911621
120000316,1,52783.15711490725,1,27,1,6,1.0,2.225540928492468
120000317,3,117411.96765919412,2,27,1,5,1.0,0.7439863102094392
120000318,2,406161.2194498754,2,27,2,1,1.0,0.4995138982911621
120000325,1,16400.507190278586,1,21,1,4,1.0,0.44932896411722156
120000326,4,542515.3430269532,3,21,3,1,1.0,0.9126221254114719
120000329,2,362643.9460009757,1,21,2,3,1.0,0.4995138982911621
120000330,1,118762.1035237255,1,21,1,6,1.0,2.225540928492468
120000334,1,263915.7856757642,1,21,1,4,1.0,2.225540928492468
120000336,3,96784.61829419696,1,21,1,1,1.0,1.3218695156593925
120000337,2,0.0,2,21,0,1,1.0,2.225540928492468
120000338,2,17571.971990867998,1,21,0,1,1.0,1.4562422919850013
120000340,3,0.0,1,21,2,1,1.0,1.3218695156593925
120000341,3,414864.6741841661,2,21,3,1,1.0,0.9126221254114719
120000401,3,256479.2384406429,2,17,2,1,1.0,1.3218695156593925
120000403,1,184741.04991229816,1,17,1,4,1.0,2.225540928492468
120000405,2,133078.85015916117,1,17,2,1,1.0,1.3218695156593925
120000406,1,8200.253595139293,0,17,0,6,1.0,0.44932896411722156
120000407,4,234823.93525288315,1,17,0,1,1.0,0.7439863102094392
