TAZ,DISTRICT,SD,COUNTY,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,AGE0519,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,OPRKCST,PRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,w_parking,w_terminal,w_employment
1,1,1,1,32167,118306,15453.9467,14211.07516,581.9795315,20435,297733.3582853892,43169.63629662488,83067.53677587173,80384.28149330262,3568.675536777019,35724.5476956937,51818.68048711925,330.0917282310956,91.04697261210823,4,5804.785,2621.29308,2324.54292,1,35.507756634284014,1.0,1.0,1.0
2,1,1,1,24700,91814,9195.024155,8364.034423,382.2138604,18247,223260.8766601211,32371.828318479584,76799.40924455838,51122.221872528884,3347.3204732250406,28576.398814161515,31043.69793716771,593.8492336455394,182.0939451932605,5,5893.996,2138.377304,1587.018696,1,20.27375143614668,1.0,1.0,1.0
3,1,1,1,40783,159184,14870.28469,13566.10771,821.9679204,31241,411542.2543750406,64198.36733406283,145684.02524113626,106585.16255227217,6170.947259510034,41976.478515039824,46927.273473019435,413.7992000649418,109.25636713143429,5,11191.279,6398.490845,3583.554155,1,28.032632038774743,1.0,1.0,1.0
4,1,1,1,48721,182735,30492.5099,27796.83878,1912.03015,35536,382766.09611328336,67362.12507165941,77701.02621073351,61239.76794805102,4972.390573935907,77701.02621073351,93789.76009817001,240.753744539553,72.38234322515564,1,8719.739,4460.073226,3216.472774,2,30.82288837382883,1.0,1.0,1.0
5,1,1,1,20178,74176,316928.7185,149257.3141,6607.642329,16676,184680.308754208,29175.67715694858,29915.32700345153,33424.61459634875,9048.563085685755,36561.377813999956,46554.74909777343,281.76250867963563,72.83757809278218,4,5502.35,1686.42635,2094.79865,1,19.872235020456817,1.0,1.0,1.0
6,1,1,1,68463,252382,101171.953,71662.72035,745.535913,57962,606485.8796124756,100673.36268423763,109165.8386590489,102492.79332855511,12125.938359457163,145554.45154539854,136473.49503577835,0.0,0.0,4,18012.995,6738.31506,5975.48694,1,24.884969544913012,1.0,1.0,1.0
7,1,1,1,34302,136474,13212.95146,11809.48991,852.826601,19878,323097.40922605246,53956.64646679202,93050.11025166705,79477.26562313842,4518.882638853805,40059.86759891903,52034.636646682164,149.82058059404795,56.44912302848434,2,5520.4,4038.388935,3034.096065,1,33.721723793350584,1.0,1.0,1.0
8,1,1,1,34030,126458,32024.31379,28361.26289,1154.084144,24163,306463.38603571965,53319.57579608145,56386.153261874715,62211.570666084095,4902.2048220779625,59452.73072766798,70191.15076193347,247.93205508648157,60.091001923062755,3,6390.384,2124.82049,2816.62251,1,38.2353499843418,1.0,1.0,1.0
9,1,1,1,33795,131013,9560.739555,8903.417416,499.8665949,22213,337134.55959764135,53940.449754824804,111249.81559883094,80573.24313292016,4378.5111351379155,40788.719637443835,46203.8203384837,0.0,0.0,5,7090.7,4392.207981,2891.719019,1,20.27375143614668,1.0,1.0,1.0
10,1,1,1,35641,135605,32011.71144,27305.56739,2937.111769,24388,271834.8158498077,45663.92993957644,47294.39894427638,40502.57772602299,5161.3522135534495,78014.16264209973,55198.394384278734,79.44312885667777,9.104697261210823,1,6529.092,4024.215588,2303.167412,1,32.96958740908748,1.0,1.0,1.0
11,1,1,1,56423,210875,308383.8276,253139.5552,11732.89175,40023,482289.49224784854,93563.00613062896,94524.01104068388,117194.00889079992,12055.752607599217,70412.50582548545,94540.2077526511,344.716845008045,89.22603315708004,3,11692.128,4677.26848,5403.05152,3,31.52752141016422,1.0,1.0,1.0
12,1,1,1,22487,83863,15874.27231,14126.83241,668.6820741,14337,199872.82457945842,29580.594956129025,54161.80481837678,38575.169001924056,2596.872818743943,31777.948879681593,43180.434104603024,289.9753173087599,109.25636713143429,3,3606.348,1690.854384,1434.569616,1,22.928849426040106,1.0,1.0,1.0
13,1,1,1,44373,167562,124503.6071,69687.64106,6322.328692,38621,356327.6632787946,60575.70275739508,70196.54966592255,58437.73677772232,4988.587285903125,65564.29004329821,96564.79674855334,289.9753173087599,109.25636713143429,3,11113.6,4460.939254,3694.342746,3,29.15800903658367,1.0,1.0,1.0
14,1,1,1,38653,142425,22577.48964,19809.93262,1701.29181,24283,357947.3344755164,57271.57351608263,89125.10705161124,73732.83177876512,4648.456334591548,65499.50319542934,67669.86259903654,108.74074397530696,40.9711376839616,4,6839.739,2947.704676,2787.129324,1,39.28828706654,1.0,1.0,1.0
15,1,1,1,41708,149300,28147.97766,26211.77004,964.0350061,29598,395896.23061470804,67696.8571189819,86301.48026532624,75611.6503669624,5145.155501586231,82344.083641336,78797.00372051526,36.246914663594985,13.657045892590133,4,8386.164,3147.604044,3060.687956,1,26.4932972737984,1.0,1.0,1.0
16,1,1,1,31889,111300,28008.85754,26122.79534,374.8920248,20252,271392.10572270374,51289.58789619013,74898.99504040481,59431.13511171169,2980.1950019681003,36636.96246984698,46155.230202582046,0.0,0.0,5,6190.044,2992.350432,1945.521568,1,33.52379316612722,1.0,1.0,1.0
17,1,1,1,17618,71635,7716.10073,6378.561996,341.0607666,9999,176020.46675573548,29391.633316511485,52979.444844769874,37311.82546848105,2461.9002190171263,24462.433974488158,29413.228932467773,14.498765863890196,5.462818357345613,2,2896.282,2818.314375,1764.310625,1,33.40372975439987,1.0,1.0,1.0
18,1,1,1,28297,103839,15174.71805,14034.31949,466.3581096,19487,269194.7517991512,43337.00232028613,65143.17553215054,58950.63265668422,3768.434984372707,44681.32941356522,53314.17689209238,0.0,0.0,4,5679.054,2020.625325,2269.449675,1,23.09002150721885,1.0,1.0,1.0
19,1,1,1,18246,93625,9277.557225,5028.228925,708.3313044,9765,250438.95934111282,45825.897059248615,101925.90840970248,53843.2694830215,4254.336343389245,19279.48614497842,25310.06190077256,1113.1514358453028,327.7691014407368,0,9015.72,15911.50883,7731.149166,2,20.728049352700882,1.0,1.0,1.0
20,1,1,1,29416,109259,130357.0304,77940.82741,2025.047552,24148,256928.44193597813,42645.942609684826,52925.455804879144,43417.985880122214,3849.4185442087964,44702.92502952151,69386.71406756164,0.0,0.0,3,7896.723,2739.763632,2783.953368,1,16.529227113147996,1.0,1.0,1.0
